model,epoch,train_accuracy,val_accuracy,train_loss,val_loss
Exploratory baseline,1,0.6973684210526315,1,0.8388826968638521,0.06995817411102746
Exploratory baseline,2,0.9276315789473685,0.9210526315789473,0.2160777284910804,0.254792577636085
Exploratory baseline,3,0.9539473684210527,0.9736842105263158,0.2327495566324184,0.1047564493982415
Exploratory baseline,4,0.9210526315789473,0.9473684210526315,0.1892202273011208,0.07671935420703928
Exploratory baseline,5,0.9276315789473685,0.9210526315789473,0.1837040352586069,0.2016583367397911
Exploratory baseline,6,0.9539473684210527,1,0.150721075270619,0.0185552575613225
Exploratory baseline,7,0.9671052631578947,1,0.1066552165062412,0.002559420159454212
Exploratory baseline,8,0.9210526315789473,0.8157894736842105,0.2472706334665418,0.4516194352978154
Exploratory baseline,9,0.9210526315789473,0.8947368421052632,0.1897033770617686,0.2427004034581937
Exploratory baseline,10,0.9802631578947368,0.9736842105263158,0.07975966667168234,0.07149355682103258
Exploratory baseline,11,0.9868421052631579,1,0.04949773114027554,0.03580647829527918
Exploratory baseline,12,0.9605263157894737,1,0.1838498459638734,0.00727289214142059
Original only,1,0.7105263157894737,0.7894736842105263,0.6369019750701753,1.229471689776339
Original only,2,0.868421052631579,0.7368421052631579,0.4173302406347112,3.808944601761667
Original only,3,0.8289473684210527,0.7368421052631579,0.5870489242829775,0.6764819461264109
Original only,4,0.868421052631579,0.631578947368421,0.3581027357201827,1.686625012138393
Original only,5,0.8947368421052632,1,0.2475257931571258,0.02135289538847773
Original only,6,0.9342105263157895,1,0.1286868022656754,0.00536106537880474
Original only,7,0.9605263157894737,0.9473684210526315,0.1200697873964122,0.1767123863729036
Original only,8,0.9605263157894737,0.631578947368421,0.2091586864308307,1.357409227051233
Original only,9,0.9210526315789473,1,0.1973432891659047,0.04646490499573318
Original only,10,0.868421052631579,1,0.2869487693043132,0.02637690131699568
Original only,11,0.9605263157894737,1,0.1268403277193245,0.01300416239782384
Original only,12,0.9736842105263158,0.9473684210526315,0.10534408757169,0.115564147782463
Original + enhanced,1,0.6973684210526315,1,0.8388826968638521,0.06995817411102746
Original + enhanced,2,0.9276315789473685,0.9210526315789473,0.2160777284910804,0.254792577636085
Original + enhanced,3,0.9539473684210527,0.9736842105263158,0.2327495566324184,0.1047564493982415
Original + enhanced,4,0.9210526315789473,0.9473684210526315,0.1892202273011208,0.07671935420703928
Original + enhanced,5,0.9276315789473685,0.9210526315789473,0.1837040352586069,0.2016583367397911
Original + enhanced,6,0.9539473684210527,1,0.150721075270619,0.0185552575613225
Original + enhanced,7,0.9671052631578947,1,0.1066552165062412,0.002559420159454212
Original + enhanced,8,0.9210526315789473,0.8157894736842105,0.2472706334665418,0.4516194352978154
Original + enhanced,9,0.9210526315789473,0.8947368421052632,0.1897033770617686,0.2427004034581937
