epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7328,2.0846,3.65947,1.77709,0.00976,0.80392,0.07761,0.04108,1.48247,3.26533,1.26623,0.0003,0.0003,0.0003
2,52.2274,1.81081,3.12027,1.55654,0.01119,0.92157,0.33425,0.12461,1.66012,3.18905,1.25277,0.00060977,0.00060977,0.00060977
3,63.4188,1.9028,2.70101,1.49029,1,0.03817,0.30046,0.1209,1.82847,3.05278,1.32175,0.00090898,0.00090898,0.00090898
4,74.7079,1.80377,2.28289,1.48881,0.55641,0.19679,0.3858,0.15413,1.81589,2.73026,1.34105,0.00119763,0.00119763,0.00119763
5,85.1533,1.75222,2.41587,1.47327,0.48581,0.204,0.33826,0.16951,1.762,2.62914,1.36716,0.00147572,0.00147572,0.00147572
6,96.4966,1.81004,2.21862,1.51082,0.67382,0.31373,0.56051,0.25902,1.72457,2.64273,1.42454,0.00174325,0.00174325,0.00174325
7,106.569,1.81712,2.20026,1.53139,0.62045,0.48091,0.52538,0.23956,1.96419,2.88939,1.87164,0.001802,0.001802,0.001802
8,117.013,1.77855,2.10471,1.48014,0.65363,0.64706,0.62804,0.25597,2.01996,2.96652,1.8903,0.001769,0.001769,0.001769
9,127.498,1.84209,2.03709,1.52048,0.50032,0.6479,0.53522,0.26146,1.86118,3.14523,1.67371,0.001736,0.001736,0.001736
10,137.685,1.74224,2.51446,1.52184,0.6714,0.72121,0.73928,0.35859,1.68145,2.60188,1.59184,0.001703,0.001703,0.001703
11,148.596,1.71102,2.18439,1.50794,0.58419,0.77141,0.71568,0.33035,1.678,2.60858,1.6677,0.00167,0.00167,0.00167
12,159.424,1.6693,1.87409,1.42558,0.75225,0.66667,0.74127,0.31657,1.70751,2.87042,1.64538,0.001637,0.001637,0.001637
13,169.621,1.73,1.97289,1.56894,0.54095,0.69324,0.58746,0.24387,1.89265,3.33365,1.79093,0.001604,0.001604,0.001604
14,180.153,1.72364,1.68513,1.46058,0.67431,0.78431,0.75131,0.35591,1.70265,2.30656,1.67564,0.001571,0.001571,0.001571
15,190.371,1.59168,1.88055,1.44821,0.80864,0.68627,0.77299,0.35264,1.77412,1.87493,1.67981,0.001538,0.001538,0.001538
16,200.946,1.64048,2.13367,1.47077,0.74912,0.81974,0.78412,0.34705,1.76081,1.73027,1.66905,0.001505,0.001505,0.001505
17,211.808,1.65476,1.92429,1.4619,0.63567,0.72549,0.70484,0.34189,1.7261,1.97088,1.58693,0.001472,0.001472,0.001472
18,222.437,1.60697,1.7885,1.37222,0.67725,0.7451,0.76583,0.38623,1.65604,1.66459,1.5123,0.001439,0.001439,0.001439
19,12.7078,1.57131,1.71576,1.41604,0.58477,0.77778,0.69299,0.38875,1.54392,2.26797,1.39051,0.001406,0.001406,0.001406
20,48.5306,1.68768,1.58848,1.45238,0.66459,0.66667,0.73261,0.39364,1.52817,2.73646,1.41569,0.001373,0.001373,0.001373
